Lists,"animals = ['dog', 'cat', 'panda']
if panda in animals:
    print(""found it!"")",found it!,error,,1
Lists,"animals = ['dog', 'cat', 'panda']
if ""panda"" or ""giraffe"" in animals:
    print(""found it!"")",found it!,,,1
Lists,"animals = ['dog', 'cat', 'panda']
if ""panda"" and ""giraffe"" in animals:
    print(""found it!"")",False,error,found it!,0
Lists,"animals = ['dog', 'cat', 'panda']
if ['dog', 'cat'] in animals:
    print(""we're here"")",we're here,error,,1
Lists,"some_nums = range(1,5)
list(some_nums)","1, 2, 3, 4","1,2,3,4,5",,0
Lists,"some_nums = range(1,5)
some_nums[0]",,[1],1,1
Lists,"animals = ['dog', 'cat', 'panda']
print(animals[-1])",panda,,,1
Lists,"animals = ['dog', 'cat', 'panda']
print(animals.index('cat'))",1,,,1
Lists,"animals = ['dog', 'cat', 'panda']
more_animals = animals + ['giraffe']
print(more_animals)","['dog', 'cat', 'panda', giraffe']",error,,0
Lists,"animals = ['dog', 'cat', 'panda']
more_animals = animals.append('giraffe')
print(more_animals)","['dog', 'cat', 'panda', 'giraffe')",,,0
Lists,"animals = ['dog', 'cat', 'panda']
animals.append(""giraffe"")
print(animals)","['dog', 'cat', 'panda', 'giraffe']",,,1
Lists,"animals = ['dog', 'cat', 'panda']
for num,animal in enumerate(animals):
    print(f""Number {num+1} is {animals}"")","Number 1 is dog
Number 2 is cat
Number 3 is panda",,,0
Lists,"animals = ['dog', 'cat', 'panda']
for num,animal in enumerate(animals):
    print(f""Number {num} is {animal}"")
print(f""We have {len(animals)} animals in our list"")",error,"Number 0 is ['dog', 'cat', 'panda']
We have 3 animals in our list",,0
Lists,"animals = ['dog', 'cat', 'panda']
while animals:
    print(animals.pop())
print(f""We have {len(animals)} animals in our list"")","dog
cat
panda
We have 3 animals in our list","dog
cat
panda
We have 3 animals in our list",,0
Lists,"lst = ['spam']
print(len(lst))
print(len(lst[0]))","4
s","1
spam","4
spam",0
Lists,list(range(10)[-5:]),"-5, -4, -3, -2, -1, 0, 1, 2, 3",,,0
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[4]",b,,,1
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[-2]",e,d,,1
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[12]",e,\n,0,0
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[0:5]",aabbc,,"['a', 'a', 'b', 'b', 'c']",0
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[5:]","['c', 'd', 'e', 'c', 'd', 'e']",,,0
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[-2:]","['d', 'e']",,,1
Lists,"lst = ['a','b','c']*2 + ['c','d','e']*2
lst[12:]",Error,false,0,0
Lists,"lst = list(""abcdef"")
lst[:3]","['a', 'b', 'c']",,,1
Lists,"lst = list(""abcdef"")
lst[:10]","['a', 'b', 'c', 'd', 'e', 'f']",,,1
Lists,"lst = list(""abcdef"")
lst[::2]",,,,0
Lists,"lst = list(""abcdef"")
lst[:3:2]",,,,0
Lists,"lst = list(""abcdef"")
lst[3::2]",,,,0
Lists,"lst = [""d"", ""a"", ""b"", ""f"", ""c"", ""e""]
min(lst)",error,a,,1
